Latitude (decimal degrees):	41.638
Longitude (decimal degrees):	2.356
Radiation database:	PVGIS-SARAH3

Results for:	March
Slope of plane (deg.):	0
Azimuth (orientation) of plane (deg.):	0
time(UTC)		G(i)		Gb(i)		Gd(i)
00:00		0.0		0.0		0.0
01:00		0.0		0.0		0.0
02:00		0.0		0.0		0.0
03:00		0.0		0.0		0.0
04:00		0.0		0.0		0.0
05:00		0.0		0.0		0.0
06:00		8.44		2.23		6.21
07:00		124.83		60.87		63.97
08:00		274.47		156.18		118.29
09:00		409.44		251.72		157.73
10:00		505.49		317.03		188.46
11:00		567.02		362.4		204.62
12:00		574.85		367.53		207.33
13:00		555.47		351.37		204.1
14:00		476.32		293.48		182.84
15:00		358.2		208.76		149.45
16:00		220.73		116.42		104.31
17:00		76.96		32.11		44.86
18:00		0.0		0.0		0.0
19:00		0.0		0.0		0.0
20:00		0.0		0.0		0.0
21:00		0.0		0.0		0.0
22:00		0.0		0.0		0.0
23:00		0.0		0.0		0.0

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)

PVGIS (c) European Union, 2001-2026
