Latitude (decimal degrees):	41.638
Longitude (decimal degrees):	2.356
Radiation database:	PVGIS-SARAH3

Results for:	April
Slope of plane (deg.):	0
Azimuth (orientation) of plane (deg.):	0
time(UTC)		G(i)		Gb(i)		Gd(i)
00:00		0.0		0.0		0.0
01:00		0.0		0.0		0.0
02:00		0.0		0.0		0.0
03:00		0.0		0.0		0.0
04:00		0.0		0.0		0.0
05:00		1.47		0.09		1.38
06:00		93.63		38.84		54.79
07:00		245.27		132.52		112.75
08:00		390.77		231.48		159.3
09:00		521.14		324.56		196.58
10:00		611.17		387.97		223.2
11:00		670.98		435.54		235.44
12:00		672.4		440.65		231.75
13:00		644.75		427.65		217.11
14:00		555.17		352.08		203.1
15:00		438.5		260.7		177.8
16:00		291.99		154.24		137.76
17:00		146.52		65.61		80.91
18:00		16.81		4.83		11.99
19:00		0.0		0.0		0.0
20:00		0.0		0.0		0.0
21:00		0.0		0.0		0.0
22:00		0.0		0.0		0.0
23:00		0.0		0.0		0.0

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)

PVGIS (c) European Union, 2001-2026
