Latitude (decimal degrees):	41.638
Longitude (decimal degrees):	2.356
Radiation database:	PVGIS-SARAH3

Results for:	May
Slope of plane (deg.):	0
Azimuth (orientation) of plane (deg.):	0
time(UTC)		G(i)		Gb(i)		Gd(i)
00:00		0.0		0.0		0.0
01:00		0.0		0.0		0.0
02:00		0.0		0.0		0.0
03:00		0.0		0.0		0.0
04:00		0.0		0.0		0.0
05:00		42.25		13.97		28.29
06:00		176.4		87.06		89.35
07:00		327.08		189.16		137.93
08:00		480.12		298.08		182.04
09:00		612.89		399.93		212.95
10:00		701.99		466.89		235.09
11:00		754.7		507.9		246.8
12:00		758.33		509.09		249.25
13:00		711.63		469.08		242.54
14:00		616.66		397.42		219.24
15:00		504.17		311.4		192.77
16:00		359.19		205.19		154.0
17:00		210.03		105.54		104.48
18:00		70.49		25.25		45.25
19:00		0.05		0.0		0.05
20:00		0.0		0.0		0.0
21:00		0.0		0.0		0.0
22:00		0.0		0.0		0.0
23:00		0.0		0.0		0.0

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)

PVGIS (c) European Union, 2001-2026
