Latitude (decimal degrees):	41.638
Longitude (decimal degrees):	2.356
Radiation database:	PVGIS-SARAH3

Results for:	August
Slope of plane (deg.):	0
Azimuth (orientation) of plane (deg.):	0
time(UTC)		G(i)		Gb(i)		Gd(i)
00:00		0.0		0.0		0.0
01:00		0.0		0.0		0.0
02:00		0.0		0.0		0.0
03:00		0.0		0.0		0.0
04:00		0.0		0.0		0.0
05:00		4.67		0.59		4.08
06:00		126.43		59.47		66.95
07:00		284.78		166.47		118.31
08:00		440.48		278.42		162.06
09:00		578.9		382.21		196.69
10:00		670.03		448.45		221.59
11:00		748.71		519.96		228.75
12:00		784.14		561.6		222.53
13:00		736.08		514.37		221.7
14:00		642.79		435.95		206.84
15:00		518.2		344.29		173.91
16:00		355.08		211.55		143.53
17:00		196.73		100.58		96.15
18:00		51.3		17.0		34.3
19:00		0.0		0.0		0.0
20:00		0.0		0.0		0.0
21:00		0.0		0.0		0.0
22:00		0.0		0.0		0.0
23:00		0.0		0.0		0.0

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)

PVGIS (c) European Union, 2001-2026
