Latitude (decimal degrees):	41.638
Longitude (decimal degrees):	2.356
Radiation database:	PVGIS-SARAH3

Results for:	October
Slope of plane (deg.):	0
Azimuth (orientation) of plane (deg.):	0
time(UTC)		G(i)		Gb(i)		Gd(i)
00:00		0.0		0.0		0.0
01:00		0.0		0.0		0.0
02:00		0.0		0.0		0.0
03:00		0.0		0.0		0.0
04:00		0.0		0.0		0.0
05:00		0.0		0.0		0.0
06:00		4.45		0.64		3.82
07:00		117.99		54.54		63.46
08:00		250.37		135.64		114.73
09:00		363.99		212.22		151.77
10:00		451.81		276.62		175.2
11:00		480.74		290.51		190.23
12:00		476.66		289.23		187.43
13:00		440.69		264.53		176.16
14:00		356.01		207.27		148.74
15:00		239.28		128.98		110.29
16:00		103.2		46.17		57.03
17:00		3.17		0.44		2.73
18:00		0.0		0.0		0.0
19:00		0.0		0.0		0.0
20:00		0.0		0.0		0.0
21:00		0.0		0.0		0.0
22:00		0.0		0.0		0.0
23:00		0.0		0.0		0.0

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)

PVGIS (c) European Union, 2001-2026
