Latitude (deg.): 41.638
Longitude (deg.): 2.356

A		H_hor		A_sun(w)		H_sun(w)		A_sun(s)		H_sun(s)
-180.0		4.6		-180.0		0.0		-180.0		0.0
-172.5		4.6		-158.7		0.0		-172.4		0.0
-165.0		3.4		-140.8		0.0		-165.0		0.0
-157.5		5.0		-127.1		0.0		-157.8		0.0
-150.0		4.2		-116.7		0.0		-150.9		0.0
-142.5		3.1		-108.4		0.0		-144.4		0.0
-135.0		1.1		-101.6		0.0		-138.3		0.0
-127.5		1.5		-95.8		0.0		-132.6		0.0
-120.0		1.1		-90.5		0.0		-127.2		0.0
-112.5		0.8		-85.7		0.0		-122.1		0.1
-105.0		1.1		-81.0		0.0		-117.2		5.0
-97.5		1.5		-76.5		0.0		-112.5		10.1
-90.0		1.5		-72.0		0.0		-108.0		15.3
-82.5		2.3		-67.5		0.0		-103.5		20.7
-75.0		2.3		-62.8		0.0		-99.0		26.2
-67.5		2.3		-57.9		0.0		-94.3		31.8
-60.0		2.3		-52.8		4.5		-89.5		37.4
-52.5		3.4		-47.4		8.8		-84.2		43.0
-45.0		3.8		-41.7		12.7		-78.4		48.5
-37.5		3.1		-35.6		16.2		-71.6		53.9
-30.0		1.9		-29.1		19.2		-63.3		59.1
-22.5		1.9		-22.2		21.7		-52.9		63.9
-15.0		1.5		-15.0		23.4		-39.2		67.9
-7.5		1.1		-7.6		24.5		-21.3		70.8
0.0		1.1		0.0		24.9		0.0		71.8
7.5		1.5		7.6		24.5		21.3		70.8
15.0		0.8		15.0		23.4		39.2		67.9
22.5		0.4		22.2		21.7		52.9		63.9
30.0		0.8		29.1		19.2		63.3		59.1
37.5		1.1		35.6		16.2		71.6		53.9
45.0		1.1		41.7		12.7		78.4		48.5
52.5		1.1		47.4		8.8		84.2		43.0
60.0		1.5		52.8		4.5		89.5		37.4
67.5		1.5		57.9		0.0		94.3		31.8
75.0		1.1		62.8		0.0		99.0		26.2
82.5		1.1		67.5		0.0		103.5		20.7
90.0		1.5		72.0		0.0		108.0		15.3
97.5		1.9		76.5		0.0		112.5		10.1
105.0		2.7		81.0		0.0		117.2		5.0
112.5		2.7		85.7		0.0		122.1		0.1
120.0		2.7		90.5		0.0		127.2		0.0
127.5		3.4		95.8		0.0		132.6		0.0
135.0		2.7		101.6		0.0		138.3		0.0
142.5		2.3		108.4		0.0		144.4		0.0
150.0		3.8		116.7		0.0		150.9		0.0
157.5		4.2		127.1		0.0		157.8		0.0
165.0		4.6		140.8		0.0		165.0		0.0
172.5		4.6		158.7		0.0		172.4		0.0
180.0		4.6		180.0		0.0		180.0		0.0

A: Azimuth (0 = S, 90 = W, -90 = E) (degree)
H_hor: Horizon height (degree)
A_sun(w): Sun azimuth in the winter solstice (Dec 21) (0 = S, 90 = W, -90 = E) (degree)
H_sun(w): Sun height in the winter solstice (Dec 21) (degree)
A_sun(s): Sun azimuth in the summer solstice (June 21) (0 = S, 90 = W, -90 = E) (degree)
H_sun(s): Sun height in the summer solstice (June 21) (degree)

PVGIS (c) European Union, 2001-2026
